project_id,freelancer_id,project_category,preference_freelancer
13,1,BattleRoyal,2
26,1,BattleRoyal,2
36,1,BattleRoyal,2
46,1,BattleRoyal,2
51,1,BattleRoyal,2
61,1,BattleRoyal,2
70,1,BattleRoyal,2
90,1,BattleRoyal,2
94,1,BattleRoyal,2
96,1,BattleRoyal,2
103,1,BattleRoyal,2
114,1,BattleRoyal,2
118,1,BattleRoyal,2
147,1,BattleRoyal,2
157,1,BattleRoyal,2
183,1,BattleRoyal,2
193,1,BattleRoyal,2
197,1,BattleRoyal,2
199,1,BattleRoyal,2
205,1,BattleRoyal,2
228,1,BattleRoyal,2
239,1,BattleRoyal,2
241,1,BattleRoyal,2
244,1,BattleRoyal,2
245,1,BattleRoyal,2
261,1,BattleRoyal,2
265,1,BattleRoyal,2
279,1,BattleRoyal,2
281,1,BattleRoyal,2
294,1,BattleRoyal,2
320,1,BattleRoyal,2
323,1,BattleRoyal,2
329,1,BattleRoyal,2
334,1,BattleRoyal,2
343,1,BattleRoyal,2
352,1,BattleRoyal,2
367,1,BattleRoyal,2
374,1,BattleRoyal,2
378,1,BattleRoyal,2
395,1,BattleRoyal,2
399,1,BattleRoyal,2
401,1,BattleRoyal,2
406,1,BattleRoyal,2
414,1,BattleRoyal,2
428,1,BattleRoyal,2
430,1,BattleRoyal,2
441,1,BattleRoyal,2
472,1,BattleRoyal,2
504,1,BattleRoyal,2
505,1,BattleRoyal,2
513,1,BattleRoyal,2
514,1,BattleRoyal,2
518,1,BattleRoyal,2
524,1,BattleRoyal,2
530,1,BattleRoyal,2
568,1,BattleRoyal,2
577,1,BattleRoyal,2
600,1,BattleRoyal,2
609,1,BattleRoyal,2
611,1,BattleRoyal,2
625,1,BattleRoyal,2
634,1,BattleRoyal,2
640,1,BattleRoyal,2
5,1,Adventure,2
18,1,Adventure,2
22,1,Adventure,2
35,1,Adventure,2
45,1,Adventure,2
55,1,Adventure,2
57,1,Adventure,2
65,1,Adventure,2
89,1,Adventure,2
102,1,Adventure,2
105,1,Adventure,2
108,1,Adventure,2
111,1,Adventure,2
119,1,Adventure,2
123,1,Adventure,2
152,1,Adventure,2
167,1,Adventure,2
186,1,Adventure,2
188,1,Adventure,2
190,1,Adventure,2
221,1,Adventure,2
233,1,Adventure,2
234,1,Adventure,2
254,1,Adventure,2
268,1,Adventure,2
273,1,Adventure,2
274,1,Adventure,2
286,1,Adventure,2
292,1,Adventure,2
293,1,Adventure,2
298,1,Adventure,2
299,1,Adventure,2
326,1,Adventure,2
340,1,Adventure,2
347,1,Adventure,2
363,1,Adventure,2
375,1,Adventure,2
376,1,Adventure,2
389,1,Adventure,2
391,1,Adventure,2
409,1,Adventure,2
411,1,Adventure,2
413,1,Adventure,2
433,1,Adventure,2
460,1,Adventure,2
471,1,Adventure,2
492,1,Adventure,2
496,1,Adventure,2
528,1,Adventure,2
548,1,Adventure,2
549,1,Adventure,2
559,1,Adventure,2
565,1,Adventure,2
566,1,Adventure,2
581,1,Adventure,2
596,1,Adventure,2
603,1,Adventure,2
604,1,Adventure,2
605,1,Adventure,2
610,1,Adventure,2
613,1,Adventure,2
615,1,Adventure,2
621,1,Adventure,2
629,1,Adventure,2
1,2,Moba,5
14,2,Moba,5
21,2,Moba,5
31,2,Moba,5
53,2,Moba,5
59,2,Moba,5
67,2,Moba,5
76,2,Moba,5
81,2,Moba,5
82,2,Moba,5
117,2,Moba,5
120,2,Moba,5
130,2,Moba,5
144,2,Moba,5
151,2,Moba,5
156,2,Moba,5
174,2,Moba,5
176,2,Moba,5
181,2,Moba,5
207,2,Moba,5
209,2,Moba,5
230,2,Moba,5
231,2,Moba,5
246,2,Moba,5
266,2,Moba,5
282,2,Moba,5
296,2,Moba,5
302,2,Moba,5
304,2,Moba,5
306,2,Moba,5
310,2,Moba,5
315,2,Moba,5
322,2,Moba,5
328,2,Moba,5
336,2,Moba,5
351,2,Moba,5
364,2,Moba,5
383,2,Moba,5
404,2,Moba,5
407,2,Moba,5
415,2,Moba,5
424,2,Moba,5
440,2,Moba,5
443,2,Moba,5
462,2,Moba,5
464,2,Moba,5
465,2,Moba,5
468,2,Moba,5
469,2,Moba,5
476,2,Moba,5
491,2,Moba,5
493,2,Moba,5
497,2,Moba,5
498,2,Moba,5
525,2,Moba,5
538,2,Moba,5
540,2,Moba,5
570,2,Moba,5
594,2,Moba,5
599,2,Moba,5
602,2,Moba,5
606,2,Moba,5
617,2,Moba,5
635,2,Moba,5
8,2,RPG,2
15,2,RPG,2
37,2,RPG,2
39,2,RPG,2
68,2,RPG,2
77,2,RPG,2
78,2,RPG,2
80,2,RPG,2
93,2,RPG,2
112,2,RPG,2
113,2,RPG,2
121,2,RPG,2
124,2,RPG,2
128,2,RPG,2
140,2,RPG,2
159,2,RPG,2
196,2,RPG,2
206,2,RPG,2
210,2,RPG,2
217,2,RPG,2
218,2,RPG,2
224,2,RPG,2
232,2,RPG,2
238,2,RPG,2
242,2,RPG,2
253,2,RPG,2
257,2,RPG,2
267,2,RPG,2
270,2,RPG,2
287,2,RPG,2
318,2,RPG,2
319,2,RPG,2
332,2,RPG,2
338,2,RPG,2
344,2,RPG,2
361,2,RPG,2
386,2,RPG,2
394,2,RPG,2
398,2,RPG,2
423,2,RPG,2
431,2,RPG,2
432,2,RPG,2
438,2,RPG,2
450,2,RPG,2
451,2,RPG,2
466,2,RPG,2
470,2,RPG,2
483,2,RPG,2
484,2,RPG,2
487,2,RPG,2
509,2,RPG,2
511,2,RPG,2
535,2,RPG,2
545,2,RPG,2
551,2,RPG,2
553,2,RPG,2
567,2,RPG,2
571,2,RPG,2
574,2,RPG,2
587,2,RPG,2
595,2,RPG,2
601,2,RPG,2
614,2,RPG,2
620,2,RPG,2
4,2,Horor,3
19,2,Horor,3
28,2,Horor,3
29,2,Horor,3
48,2,Horor,3
69,2,Horor,3
75,2,Horor,3
79,2,Horor,3
85,2,Horor,3
86,2,Horor,3
95,2,Horor,3
104,2,Horor,3
122,2,Horor,3
132,2,Horor,3
134,2,Horor,3
155,2,Horor,3
165,2,Horor,3
172,2,Horor,3
182,2,Horor,3
189,2,Horor,3
192,2,Horor,3
214,2,Horor,3
216,2,Horor,3
226,2,Horor,3
236,2,Horor,3
248,2,Horor,3
285,2,Horor,3
290,2,Horor,3
301,2,Horor,3
308,2,Horor,3
312,2,Horor,3
313,2,Horor,3
346,2,Horor,3
355,2,Horor,3
356,2,Horor,3
358,2,Horor,3
360,2,Horor,3
366,2,Horor,3
372,2,Horor,3
373,2,Horor,3
388,2,Horor,3
420,2,Horor,3
426,2,Horor,3
444,2,Horor,3
452,2,Horor,3
454,2,Horor,3
478,2,Horor,3
488,2,Horor,3
495,2,Horor,3
500,2,Horor,3
501,2,Horor,3
506,2,Horor,3
510,2,Horor,3
532,2,Horor,3
533,2,Horor,3
539,2,Horor,3
546,2,Horor,3
557,2,Horor,3
583,2,Horor,3
608,2,Horor,3
619,2,Horor,3
624,2,Horor,3
633,2,Horor,3
636,2,Horor,3
10,2,OpenWorld,2
17,2,OpenWorld,2
30,2,OpenWorld,2
33,2,OpenWorld,2
42,2,OpenWorld,2
52,2,OpenWorld,2
64,2,OpenWorld,2
72,2,OpenWorld,2
101,2,OpenWorld,2
109,2,OpenWorld,2
135,2,OpenWorld,2
143,2,OpenWorld,2
146,2,OpenWorld,2
149,2,OpenWorld,2
158,2,OpenWorld,2
160,2,OpenWorld,2
162,2,OpenWorld,2
166,2,OpenWorld,2
168,2,OpenWorld,2
169,2,OpenWorld,2
170,2,OpenWorld,2
180,2,OpenWorld,2
184,2,OpenWorld,2
220,2,OpenWorld,2
223,2,OpenWorld,2
247,2,OpenWorld,2
258,2,OpenWorld,2
278,2,OpenWorld,2
291,2,OpenWorld,2
295,2,OpenWorld,2
314,2,OpenWorld,2
316,2,OpenWorld,2
321,2,OpenWorld,2
324,2,OpenWorld,2
325,2,OpenWorld,2
350,2,OpenWorld,2
353,2,OpenWorld,2
354,2,OpenWorld,2
359,2,OpenWorld,2
382,2,OpenWorld,2
412,2,OpenWorld,2
416,2,OpenWorld,2
418,2,OpenWorld,2
421,2,OpenWorld,2
422,2,OpenWorld,2
448,2,OpenWorld,2
475,2,OpenWorld,2
486,2,OpenWorld,2
489,2,OpenWorld,2
494,2,OpenWorld,2
503,2,OpenWorld,2
508,2,OpenWorld,2
512,2,OpenWorld,2
517,2,OpenWorld,2
519,2,OpenWorld,2
522,2,OpenWorld,2
529,2,OpenWorld,2
550,2,OpenWorld,2
572,2,OpenWorld,2
585,2,OpenWorld,2
607,2,OpenWorld,2
616,2,OpenWorld,2
626,2,OpenWorld,2
637,2,OpenWorld,2
2,2,Sports,2
7,2,Sports,2
12,2,Sports,2
20,2,Sports,2
24,2,Sports,2
27,2,Sports,2
34,2,Sports,2
40,2,Sports,2
41,2,Sports,2
44,2,Sports,2
49,2,Sports,2
50,2,Sports,2
60,2,Sports,2
62,2,Sports,2
63,2,Sports,2
71,2,Sports,2
88,2,Sports,2
91,2,Sports,2
92,2,Sports,2
98,2,Sports,2
100,2,Sports,2
106,2,Sports,2
110,2,Sports,2
116,2,Sports,2
127,2,Sports,2
136,2,Sports,2
137,2,Sports,2
139,2,Sports,2
142,2,Sports,2
145,2,Sports,2
150,2,Sports,2
154,2,Sports,2
161,2,Sports,2
163,2,Sports,2
171,2,Sports,2
187,2,Sports,2
191,2,Sports,2
194,2,Sports,2
200,2,Sports,2
201,2,Sports,2
202,2,Sports,2
212,2,Sports,2
215,2,Sports,2
219,2,Sports,2
222,2,Sports,2
229,2,Sports,2
237,2,Sports,2
240,2,Sports,2
243,2,Sports,2
250,2,Sports,2
252,2,Sports,2
256,2,Sports,2
259,2,Sports,2
262,2,Sports,2
264,2,Sports,2
271,2,Sports,2
272,2,Sports,2
275,2,Sports,2
277,2,Sports,2
283,2,Sports,2
297,2,Sports,2
305,2,Sports,2
309,2,Sports,2
311,2,Sports,2
327,2,Sports,2
331,2,Sports,2
342,2,Sports,2
348,2,Sports,2
362,2,Sports,2
384,2,Sports,2
392,2,Sports,2
400,2,Sports,2
403,2,Sports,2
405,2,Sports,2
417,2,Sports,2
429,2,Sports,2
442,2,Sports,2
445,2,Sports,2
447,2,Sports,2
449,2,Sports,2
456,2,Sports,2
457,2,Sports,2
458,2,Sports,2
467,2,Sports,2
473,2,Sports,2
474,2,Sports,2
477,2,Sports,2
481,2,Sports,2
485,2,Sports,2
502,2,Sports,2
507,2,Sports,2
520,2,Sports,2
521,2,Sports,2
523,2,Sports,2
527,2,Sports,2
536,2,Sports,2
537,2,Sports,2
542,2,Sports,2
544,2,Sports,2
552,2,Sports,2
555,2,Sports,2
556,2,Sports,2
558,2,Sports,2
561,2,Sports,2
563,2,Sports,2
564,2,Sports,2
569,2,Sports,2
573,2,Sports,2
575,2,Sports,2
576,2,Sports,2
578,2,Sports,2
582,2,Sports,2
584,2,Sports,2
586,2,Sports,2
588,2,Sports,2
590,2,Sports,2
592,2,Sports,2
593,2,Sports,2
597,2,Sports,2
598,2,Sports,2
618,2,Sports,2
622,2,Sports,2
623,2,Sports,2
627,2,Sports,2
630,2,Sports,2
631,2,Sports,2
632,2,Sports,2
639,2,Sports,2
9,2,Puzzle,2
11,2,Puzzle,2
25,2,Puzzle,2
38,2,Puzzle,2
47,2,Puzzle,2
56,2,Puzzle,2
58,2,Puzzle,2
73,2,Puzzle,2
87,2,Puzzle,2
99,2,Puzzle,2
125,2,Puzzle,2
129,2,Puzzle,2
131,2,Puzzle,2
138,2,Puzzle,2
141,2,Puzzle,2
148,2,Puzzle,2
164,2,Puzzle,2
175,2,Puzzle,2
177,2,Puzzle,2
178,2,Puzzle,2
179,2,Puzzle,2
227,2,Puzzle,2
235,2,Puzzle,2
263,2,Puzzle,2
269,2,Puzzle,2
280,2,Puzzle,2
284,2,Puzzle,2
288,2,Puzzle,2
289,2,Puzzle,2
300,2,Puzzle,2
303,2,Puzzle,2
307,2,Puzzle,2
339,2,Puzzle,2
357,2,Puzzle,2
365,2,Puzzle,2
369,2,Puzzle,2
370,2,Puzzle,2
371,2,Puzzle,2
377,2,Puzzle,2
379,2,Puzzle,2
387,2,Puzzle,2
390,2,Puzzle,2
397,2,Puzzle,2
402,2,Puzzle,2
410,2,Puzzle,2
419,2,Puzzle,2
435,2,Puzzle,2
439,2,Puzzle,2
446,2,Puzzle,2
455,2,Puzzle,2
459,2,Puzzle,2
461,2,Puzzle,2
463,2,Puzzle,2
479,2,Puzzle,2
482,2,Puzzle,2
515,2,Puzzle,2
526,2,Puzzle,2
534,2,Puzzle,2
541,2,Puzzle,2
554,2,Puzzle,2
560,2,Puzzle,2
562,2,Puzzle,2
612,2,Puzzle,2
628,2,Puzzle,2
3,2,FPS,2
16,2,FPS,2
23,2,FPS,2
32,2,FPS,2
43,2,FPS,2
54,2,FPS,2
66,2,FPS,2
74,2,FPS,2
83,2,FPS,2
84,2,FPS,2
97,2,FPS,2
107,2,FPS,2
115,2,FPS,2
126,2,FPS,2
133,2,FPS,2
153,2,FPS,2
173,2,FPS,2
185,2,FPS,2
195,2,FPS,2
198,2,FPS,2
203,2,FPS,2
204,2,FPS,2
208,2,FPS,2
211,2,FPS,2
213,2,FPS,2
225,2,FPS,2
249,2,FPS,2
251,2,FPS,2
255,2,FPS,2
260,2,FPS,2
276,2,FPS,2
317,2,FPS,2
330,2,FPS,2
333,2,FPS,2
335,2,FPS,2
337,2,FPS,2
341,2,FPS,2
345,2,FPS,2
349,2,FPS,2
368,2,FPS,2
380,2,FPS,2
381,2,FPS,2
385,2,FPS,2
393,2,FPS,2
396,2,FPS,2
408,2,FPS,2
425,2,FPS,2
427,2,FPS,2
434,2,FPS,2
436,2,FPS,2
437,2,FPS,2
453,2,FPS,2
480,2,FPS,2
490,2,FPS,2
499,2,FPS,2
516,2,FPS,2
531,2,FPS,2
543,2,FPS,2
547,2,FPS,2
579,2,FPS,2
580,2,FPS,2
589,2,FPS,2
591,2,FPS,2
638,2,FPS,2
6,2,BattleRoyal,4
13,2,BattleRoyal,4
26,2,BattleRoyal,4
36,2,BattleRoyal,4
46,2,BattleRoyal,4
51,2,BattleRoyal,4
61,2,BattleRoyal,4
70,2,BattleRoyal,4
90,2,BattleRoyal,4
94,2,BattleRoyal,4
96,2,BattleRoyal,4
103,2,BattleRoyal,4
114,2,BattleRoyal,4
118,2,BattleRoyal,4
147,2,BattleRoyal,4
157,2,BattleRoyal,4
183,2,BattleRoyal,4
193,2,BattleRoyal,4
197,2,BattleRoyal,4
199,2,BattleRoyal,4
205,2,BattleRoyal,4
228,2,BattleRoyal,4
239,2,BattleRoyal,4
241,2,BattleRoyal,4
244,2,BattleRoyal,4
245,2,BattleRoyal,4
261,2,BattleRoyal,4
265,2,BattleRoyal,4
279,2,BattleRoyal,4
281,2,BattleRoyal,4
294,2,BattleRoyal,4
320,2,BattleRoyal,4
323,2,BattleRoyal,4
329,2,BattleRoyal,4
334,2,BattleRoyal,4
343,2,BattleRoyal,4
352,2,BattleRoyal,4
367,2,BattleRoyal,4
374,2,BattleRoyal,4
378,2,BattleRoyal,4
395,2,BattleRoyal,4
399,2,BattleRoyal,4
401,2,BattleRoyal,4
406,2,BattleRoyal,4
414,2,BattleRoyal,4
428,2,BattleRoyal,4
430,2,BattleRoyal,4
441,2,BattleRoyal,4
472,2,BattleRoyal,4
504,2,BattleRoyal,4
505,2,BattleRoyal,4
513,2,BattleRoyal,4
514,2,BattleRoyal,4
518,2,BattleRoyal,4
524,2,BattleRoyal,4
530,2,BattleRoyal,4
568,2,BattleRoyal,4
577,2,BattleRoyal,4
600,2,BattleRoyal,4
609,2,BattleRoyal,4
611,2,BattleRoyal,4
625,2,BattleRoyal,4
634,2,BattleRoyal,4
640,2,BattleRoyal,4
5,2,Adventure,2
18,2,Adventure,2
22,2,Adventure,2
35,2,Adventure,2
45,2,Adventure,2
55,2,Adventure,2
57,2,Adventure,2
65,2,Adventure,2
89,2,Adventure,2
102,2,Adventure,2
105,2,Adventure,2
108,2,Adventure,2
111,2,Adventure,2
119,2,Adventure,2
123,2,Adventure,2
152,2,Adventure,2
167,2,Adventure,2
186,2,Adventure,2
188,2,Adventure,2
190,2,Adventure,2
221,2,Adventure,2
233,2,Adventure,2
234,2,Adventure,2
254,2,Adventure,2
268,2,Adventure,2
273,2,Adventure,2
274,2,Adventure,2
286,2,Adventure,2
292,2,Adventure,2
293,2,Adventure,2
298,2,Adventure,2
299,2,Adventure,2
326,2,Adventure,2
340,2,Adventure,2
347,2,Adventure,2
363,2,Adventure,2
375,2,Adventure,2
376,2,Adventure,2
389,2,Adventure,2
391,2,Adventure,2
409,2,Adventure,2
411,2,Adventure,2
413,2,Adventure,2
433,2,Adventure,2
460,2,Adventure,2
471,2,Adventure,2
492,2,Adventure,2
496,2,Adventure,2
528,2,Adventure,2
548,2,Adventure,2
549,2,Adventure,2
559,2,Adventure,2
